id,begin,end,phone_goodness,phone_id,word_interval_id,utterance_id,workflow_id
1,0.0,0.07,-106.06146240234375,2,1,1,1
2,0.07,0.17,-45.32111358642578,60,2,1,1
3,0.17,0.24,-41.522613525390625,50,2,1,1
4,0.24,0.41,-40.161712646484375,13,2,1,1
5,0.41,0.6,-72.58503723144531,2,3,1,1
6,0.6,0.75,-49.303218841552734,28,4,1,1
7,0.75,0.85,-45.40227127075195,73,4,1,1
8,0.85,0.93,-44.429954528808594,84,5,1,1
9,0.93,1.01,-40.458518981933594,57,5,1,1
10,1.01,1.07,-50.9671630859375,80,6,1,1
11,1.07,1.17,-42.032649993896484,30,6,1,1
12,1.17,1.26,-47.09789276123047,74,6,1,1
13,1.26,1.29,-52.79838562011719,81,6,1,1
14,1.29,1.32,-53.2939338684082,24,7,1,1
15,1.32,1.41,-42.187774658203125,29,7,1,1
16,1.41,1.46,-50.88312530517578,16,8,1,1
17,1.46,1.56,-47.163578033447266,62,8,1,1
18,1.56,1.66,-62.5566520690918,149,8,1,1
19,1.66,1.71,-56.2944450378418,64,9,1,1
20,1.71,1.8,-39.336204528808594,14,9,1,1
21,1.8,1.82,-36.377098083496094,130,9,1,1
22,1.82,1.9,-39.072105407714844,13,9,1,1
23,1.9,1.97,-47.36772918701172,16,10,1,1
24,1.97,2.15,-41.505001068115234,30,10,1,1
25,2.15,2.16,-51.23556900024414,129,10,1,1
26,2.16,2.25,-50.90507125854492,20,11,1,1
27,2.25,2.33,-41.845054626464844,29,11,1,1
28,2.33,2.41,-49.316917419433594,80,12,1,1
29,2.41,2.51,-41.58344268798828,62,12,1,1
30,2.51,2.57,-45.14964294433594,102,12,1,1
31,2.57,2.65,-43.58179473876953,61,12,1,1
32,2.65,2.77,-41.58866500854492,32,13,1,1
33,2.77,2.84,-40.28535079956055,86,13,1,1
34,2.84,2.91,-40.997474670410156,58,13,1,1
35,2.91,2.99,-49.64379119873047,150,13,1,1
36,2.99,3.05,-41.882774353027344,42,13,1,1
37,3.05,3.13,-41.26445770263672,62,13,1,1
38,3.13,3.17,-50.24040222167969,58,13,1,1
39,3.17,3.25,-37.57078170776367,13,13,1,1
40,3.25,3.31,-42.228572845458984,16,14,1,1
41,3.31,3.39,-35.653377532958984,42,14,1,1
42,3.39,3.47,-41.21971130371094,30,14,1,1
43,3.47,3.6,-50.30547332763672,57,14,1,1
44,3.6,3.79,-68.25123596191406,2,15,1,1
45,3.79,3.96,-46.10078811645508,39,16,1,1
46,3.96,4.01,-42.989044189453125,28,17,1,1
47,4.01,4.1,-45.95918273925781,49,17,1,1
48,4.1,4.17,-51.64810562133789,64,18,1,1
49,4.17,4.19,-48.21076202392578,130,18,1,1
50,4.19,4.32,-40.67337417602539,62,18,1,1
51,4.32,4.33,-46.74391174316406,122,18,1,1
52,4.33,4.35,-49.71044921875,130,18,1,1
53,4.35,4.47,-39.895477294921875,14,18,1,1
54,4.47,4.53,-41.26559066772461,54,18,1,1
55,4.53,4.6,-33.44307327270508,13,18,1,1
56,4.6,4.66,-37.899967193603516,24,19,1,1
57,4.66,4.72,-39.784942626953125,30,19,1,1
58,4.72,4.79,-47.083282470703125,82,19,1,1
59,4.79,4.87,-43.057376861572266,30,19,1,1
60,4.87,4.88,-48.51561737060547,122,19,1,1
61,4.88,5.01,-51.55770492553711,82,19,1,1
62,5.01,5.08,-35.90656661987305,13,19,1,1
63,5.08,5.14,-39.01904296875,48,20,1,1
64,5.14,5.21,-39.44464111328125,62,20,1,1
65,5.21,5.34,-45.37541198730469,73,20,1,1
66,5.34,5.72,-51.1147575378418,11,21,1,1
67,5.72,5.85,-51.13380813598633,24,22,1,1
68,5.85,5.91,-44.96918869018555,29,22,1,1
69,5.91,5.96,-45.10567855834961,16,23,1,1
70,5.96,6.09,-38.26966857910156,62,23,1,1
71,6.09,6.3,-43.09336471557617,149,23,1,1
72,6.3,6.36,-67.93881225585938,2,24,1,1
